index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,,8,,3,,3,
3,,,9,,,,3,
4,,5,10,,,3,3,
5,4,,,,3,,,
6,,,12,,,,3,
7,,,13,,,,3,
8,,9,14,2,,3,3,3
9,8,,,3,3,,,3
10,,11,16,4,,3,3,3
11,10,12,,,3,3,,
12,11,,18,6,3,,3,3
13,,14,19,7,,3,3,3
14,13,15,20,8,3,3,3,3
15,14,16,21,,3,3,3,
16,15,,,10,3,,,3
17,,18,23,,,3,3,
18,17,,24,12,3,,3,3
19,,20,,13,,3,,3
20,19,21,,14,3,3,,3
21,20,22,27,15,3,3,3,3
22,21,23,28,,3,3,3,
23,22,,,17,3,,,3
24,,,,18,,,,3
25,,26,31,,,3,3,
26,25,27,,,3,3,,
27,26,,,21,3,,,3
28,,,34,22,,,3,3
29,,,35,,,,3,
30,,,36,,,,3,
31,,32,37,25,,3,3,3
32,31,33,38,,3,4,3,
33,32,,,,4,,,
34,,35,40,28,,3,3,3
35,34,,41,29,3,,3,3
36,,,42,30,,,3,3
37,,,,31,,,,3
38,,39,,32,,3,,3
39,38,,45,,3,,3,
40,,,46,34,,,3,3
41,,42,47,35,,3,3,3
42,41,,48,36,3,,3,3
43,,44,,,,3,,
44,43,45,,,3,3,,
45,44,46,,39,3,3,,3
46,45,,,40,3,,,3
47,,,,41,,,,3
48,,,,42,,,,3
